"sizes","probs","cells"
0.2,0.11,2850
40.5,0.1,2000
21.7,0.53,4400
10.8,0.74,3700
35.7,0.9,2750
6.1,0.99,3550
8,0.89,4200
4.3,0.49,100
47.1,0.7,4900
33.4,0.41,4050
48.5,0.1,1500
32.3,0.85,2350
32.8,0.3,2300
42.8,0.88,3200
29.5,0.3,3600
0.6,0.58,3300
31.5,0.75,1600
43.6,0.92,1200
14.5,0.51,700
25.8,0.21,3100
14.4,0.04,1800
15,0.57,2650
15.6,0.88,2100
47.6,0.75,500
15,0.57,1150
22.4,0.71,1900
0.4,0.42,2300
4.8,0.72,800
46.7,0.36,3600
9.9,0.7,4800
41.7,0.32,300
22.9,0.74,4250
17.5,0.42,3100
22.8,0.97,3450
34.8,0.54,3550
49.2,0.17,1300
5.1,0.26,3600
3.1,0.93,1650
9.9,0.82,4150
29.7,0.95,3000
7.4,0.06,4950
45.3,0.4,2000
50,0.76,500
36.3,0.08,1150
43.2,0.97,3400
46.1,0.39,1150
35.6,0.54,4850
23.8,0.38,450
11,0.86,100
13.8,0.08,3800
34.8,0.54,4200
41,0.7,3450
43.3,0.45,2450
20.4,0.83,4550
5.5,0.77,200
16.5,0.12,4800
30.4,0.56,2450
41,0.08,4650
28,0.47,3850
40.7,0.25,3250
17.6,0.41,2450
41,0.96,350
15.9,0.14,4600
41.3,0.3,4750
9.7,0.83,1150
13.9,0.08,1950
41.3,0.23,3750
41,0.41,3950
1.4,0.62,1950
42.2,0.45,3200
35.8,0.8,2950
47.3,0.85,350
42.6,0.41,2300
38.1,0.98,950
12.3,0.57,2750
6.7,0.63,2550
41.8,0.76,2100
43.3,0.17,2400
13.3,0.45,1800
31.3,0.22,400
45.7,0.59,500
31.6,0.65,2200
46.8,0.69,1550
10.1,0.76,2650
18.3,0.59,3000
50,0.35,2800
19.3,0.97,4900
15.2,0.01,800
2.3,0.93,2750
16.1,0.89,1450
28.4,0.28,2450
31,0.46,2550
6.4,0.98,2300
4.1,0.25,4900
7.9,0.78,3100
19.3,0.77,3950
47.6,0.36,4400
37.6,0.17,3700
24.9,0.92,200
23.4,0.3,3200
32,0.28,2850
46.2,0.96,4050
26.2,0.22,2600
15,0.07,3550
5.8,0.12,1350
5.4,0.38,850
49.9,0.46,3550
13.3,0.25,3500
24.7,0.4,3750
27.5,0.72,4200
6.5,0.13,4350
5,0.17,1050
3.5,0.93,4050
12.2,0.56,4600
4.6,0.54,2350
39.9,0.29,2300
28.9,0.96,1250
4.9,0.11,450
16.4,0.23,1150
11.6,0.88,4850
41.5,0.91,500
26.3,0.7,2650
45.2,0.94,3650
14.1,0.96,3750
18.7,0.24,3850
33.6,0.54,3050
3.9,0.79,450
42.8,0.49,2800
33.2,0.56,850
29.6,0.15,2600
16,0.24,4700
8.8,0.58,200
38.1,0.49,3950
29.1,0.59,4500
45.3,0.09,1550
43.3,0.48,200
43.6,0.97,3900
27.8,0.28,2550
31,0.04,1200
42.5,0.47,2250
23.3,0.76,50
19.1,0.91,150
44.7,0.73,4100
23.4,0.69,4450
34.4,0.14,4700
33.7,0.29,1300
45.5,0.26,2850
45.9,0.69,800
47.6,0.77,2650
15.9,0.94,4300
14.3,0.41,1300
48.8,0.01,1400
30.7,0.03,1550
36.3,0.43,1250
25.9,0.09,3200
29.2,0.82,150
19.2,0.47,2650
24.8,0.95,2150
8.8,0.97,1150
11.5,0.69,2100
1.9,0.98,4100
40.7,0.47,2900
33.7,0.73,1300
25.4,0.68,4750
27.5,0.79,3350
17.5,0.38,900
35,0.8,2050
42.9,0.32,1450
19,0.12,3750
19.7,0.36,4000
30.8,0.9,1600
7.6,0.59,1350
6,0.11,4150
11,0.82,750
28,0.25,4500
38.2,0.74,4900
38.8,0.51,650
37.7,0.33,3800
30.2,0.62,4050
32.9,0.77,2300
29.8,0.99,1650
17.5,0.45,2650
28.8,0.04,2550
29.2,0.91,1950
25.9,0.73,1500
44.1,0.73,4950
16.4,0.22,2950
35.9,0.13,50
22.2,0.13,2350
42.1,0.17,3750
22,0.02,1450
32.9,0.39,3550
10.5,0.5,1150
9.3,0.81,3100
25.8,0.82,4300
39.2,0.27,2100
0.7,0.24,950
37.6,0.2,2950
27.8,0.36,4450
44.5,0.28,450
18.6,0.32,1150
30.6,0.8,3600
8.6,0.02,3750
40.8,0.07,2850
2.7,0.75,1300
48.1,0.81,4250
43.1,0.22,4550
4.1,0.15,3850
8.9,0.34,3950
13.4,0.33,3700
13.9,0.86,1300
6.4,0.79,3350
13.1,0.72,4200
3.1,0.22,3750
7,0.19,3350
37.3,0.83,700
17.3,0.04,300
33,0.43,800
36.6,0.34,4150
42.5,0.8,4750
19.5,0.28,4650
39.6,0.68,2300
30.2,0.27,100
47,0.31,950
13.7,0.31,3150
0.8,0.37,3300
8.8,0.76,250
20.3,0.18,3700
5.9,0.83,5000
16.1,0.79,4800
44.5,0.47,4400
14.8,0.71,4950
34.9,0.06,1850
23.5,0.36,3350
26.3,0.87,950
20.1,0.97,250
42.7,0.75,3400
26.6,0.94,1450
44.5,0.58,3950
16.1,0.56,1450
22.1,0.22,900
5.8,0.49,4000
25.9,0.1,1150
41.5,0.46,4200
3.2,0.55,4400
0.6,0.94,3350
30,0.7,1950
2.5,0.1,4900
27.2,0.82,750
35.5,0.02,700
49.4,0.16,1900
42.8,0.81,4350
16.7,0.87,50
35.3,0.06,2200
46.6,0.56,700
0.6,0.62,250
37.6,0.91,3600
8.2,0.24,2250
30.1,0.11,3900
39.6,0.25,1150
42.6,0.01,4550
35.6,0.36,900
24.2,0.87,700
49.2,0.95,4600
26,0.25,4400
45.4,0.37,3700
24,0.18,3850
34,0.39,900
29.3,0.68,2200
16.2,0.36,3000
29.7,0.76,1350
41.1,0.44,4000
12.4,0.37,250
36,0.98,1950
35,0.64,950
29.1,0.52,3350
46.9,0.77,2400
47.1,0.86,3000
13.9,0.09,4700
15.9,0.94,1700
5.5,0.89,1550
21.2,0.01,3100
31.9,0.78,1550
14.2,0.77,2600
50,0.78,50
7,0.24,750
13.9,0.7,2400
11.8,0.5,3800
6.6,0.02,3000
31.8,0.54,2450
18.4,0.55,1050
28.2,0.82,4100
49.4,0.35,1750
32.1,0.09,450
4.8,0.63,5000
39.7,0.39,1550
7.2,0.83,1150
21.8,0.46,1250
47,0.48,2300
42.5,0.05,1000
47.6,0.61,1200
23,0.68,2550
39,0.82,4150
37.6,0.28,400
49.2,0.72,1650
35.2,0.35,3150
49.2,0.22,700
3.1,0.75,1250
43.5,0.83,3250
15.1,0.46,650
1.1,0.05,3100
40.6,0.13,1100
18.5,0.61,150
1.1,0.49,3700
26.9,0.56,1700
38.9,0.48,2200
18.4,0.72,3400
42.9,0.24,4550
42.1,0.24,900
31.9,0.69,100
42.7,0.09,1000
26.4,0.57,450
0.1,0.98,1700
38.4,0.4,1850
42.5,0.13,2150
14,0.76,4650
36.7,0.63,50
11.6,0.46,250
34.9,0.83,3800
28.3,0.9,4450
50,0.45,850
35,0.74,2700
28.7,0.89,4050
6.5,0.09,1050
31.4,0.69,3200
8.5,0.6,4000
43.4,0.63,1900
20.6,0.53,500
34.3,0.91,600
6.8,0.85,4650
19.4,0.52,4650
15.3,0.83,3450
6.1,0.18,4550
44.1,0.44,4950
8.8,0.37,2750
31.4,0.88,4600
46.2,0.7,2350
1.8,0.37,4850
28.6,0.98,550
24.1,0.85,350
15.2,0.47,4750
12.3,0.2,1100
41.6,0.58,500
18.7,0.68,750
3.4,0.5,1350
6.3,0.75,2050
1.7,0.42,4350
40.9,0.68,4450
25.9,0.02,1750
34,0.62,1650
47.4,0.45,450
29.5,0.83,3150
38.7,0.23,1950
4.7,0.73,1750
3.3,0.77,1000
44.4,0.83,4650
11.6,0.87,1150
35.6,0.85,4000
6.8,0.21,1050
22.4,0.24,800
49.9,0.11,4200
49,0.22,3550
43.9,0.29,1950
16.6,0.05,1500
37.4,0.82,2800
37.9,0.18,300
38.8,0.83,550
40.4,0.88,2800
40.7,0.32,4150
5.6,0.35,2700
11,0.68,3050
43.1,0.81,2700
41.9,0.13,3750
33.6,0.98,4450
38.5,0.91,50
21.1,0.69,3150
28,0.42,1100
14.3,0.75,150
26.9,0.05,1650
14.8,0.39,1600
7.6,0.34,3550
39.8,0.83,500
11.3,0.14,3750
25.6,0.31,3150
38.6,0.28,1600
35.4,0.29,50
19.3,0.25,1850
41.5,0.57,950
36,0.67,650
9.4,0.9,850
49.5,0.01,2350
13.1,0.59,2100
16.1,0.66,1400
16.9,0.93,4800
38.8,0.34,1700
30.2,0.73,1050
11.3,0.68,4700
39.5,0.02,3650
7.8,0.87,2800
15.2,0.8,50
0.6,0.66,1850
44.5,0.57,1700
42.1,0.13,550
17.9,0.67,150
13.1,0.96,4900
22.6,0.22,1200
31,0.66,100
40.8,0.88,4600
14.5,0.95,4400
35.4,0.51,250
24.3,0.67,2150
23.3,0.61,3100
37.2,0.59,3650
12,0.87,3500
40.1,0.22,3550
23.8,0.08,4100
32,0.84,4200
29.4,0.09,50
6.3,0.53,1000
13.1,0.47,3200
6.4,0.29,1250
19.3,0.26,350
7.3,0.92,1200
39.6,0.66,1700
25.4,0.83,3750
24.5,0.15,3400
42,0.25,1550
25.6,0.65,850
34.8,0.91,2050
16.9,0.47,2250
9.4,0.06,2200
29.7,0.15,2650
44.2,0.16,550
48.3,0.76,4000
18.1,0.08,3900
43.4,0.5,2900
7.1,0.23,2950
7,0.23,3350
12.7,0.11,250
4.6,0.32,3000
39.8,0.15,150
36.4,0.76,750
31,0.82,2400
39.9,0.42,3400
32.6,0.99,1600
8.7,0.28,500
30.8,0.95,4350
24.3,0.94,900
11.3,0.56,3550
20.5,0.8,4050
37.5,0.52,4100
3.8,0.02,2050
26.1,0.75,2150
13.1,0.36,1150
26.1,0.52,3400
33.3,0.75,2500
42.3,0.64,3350
37.5,0.65,4000
28.4,0.48,1000
5.3,0.02,1400
31.7,0.09,2850
37.3,0.3,1250
48.9,0.6,4650
7.9,0.18,900
3.8,0.4,400
27.2,0.85,1850
6.9,0.25,3950
34.6,0.56,700
43.7,0.74,800
7.5,0.98,200
13.7,0.07,4500
22.2,0.3,1000
8.1,0.09,1900
48.6,0.15,2350
22.6,0.9,1900
8,0.92,1650
5.4,0.28,1300
5.4,0.64,450
48.4,0.31,3750
9,0.11,1100
49.7,0.22,3400
14.9,0.57,2200
21.6,0.87,4400
29.1,0.09,4450
39.4,0.01,2550
8.5,0.02,4900
36.4,0.44,4500
12.3,0.2,4300
48.3,0.01,4400
10.9,0.46,2400
17.7,0.57,50
9.1,0.57,4550
8.2,0.7,2150
20.1,0.64,2150
16.8,0.93,2600
42.3,0.76,650
3,0.29,2050
40.6,0.7,1950
30.8,0.45,400
34.9,0.35,2350
5.1,0.22,1350
8.7,0.53,1900
42.6,0.71,3850
32.8,0.1,550
20.5,0.33,3900
47.6,0.33,350
13.7,0.58,450
9.7,0.05,1450
31.6,0.98,2200
15.1,0.83,1950
3.8,0.87,2250
25.6,0.54,3600
41.3,0.46,4950
19.3,0.34,1000
43.9,0.98,5000
15.8,0.44,3800
6,0.79,4900
10.7,0.38,2650
35.5,0.54,4800
46.6,0.38,600
10.1,0.88,750
39.8,0.32,350
27.7,0.53,4100
26.2,0.14,2350
22.4,0.46,2300
0.9,0.2,300
13.6,0.4,3100
26.3,0.07,3600
32.8,0.44,1300
36.9,0.52,4050
43.3,0.4,1950
13.2,0.61,4200
32.5,0.02,3400
11.6,0.76,4900
32.3,0.62,200
25.8,0.4,4450
49,0.88,1350
29.8,0.79,550
42.1,0.25,4300
28.4,0.82,4200
27.5,0.26,4750
34.4,0.5,2650
19,0.85,500
48.8,0.17,3050
21.5,0.47,4300
15.3,0.87,3850
1.7,0.58,1900
10.5,0.28,3500
27.6,0.78,3650
47.8,0.65,2400
10.4,0.61,550
36.4,0.8,4400
0.2,0.17,3800
16.8,0.94,50
32.6,0.38,4200
39.3,0.65,1900
39.1,0.51,4300
15.3,0.66,2500
3.7,0.16,1650
18.7,0.67,600
26.4,0.72,1050
13.1,0.98,4400
25.6,0.59,950
5.9,0.25,1150
1.4,0.15,50
38.7,0.8,4300
25.9,0.83,400
7.5,0.45,350
39.2,0.55,1100
2.1,0.2,5000
19.6,0.54,3100
46.7,0.58,2400
27.5,0.8,2200
12.5,0.5,1500
39.8,0.58,4350
27.5,0.54,350
2.7,0.18,900
49.4,0.49,4500
38.5,0.54,4350
47.4,0.36,2450
10.1,0.2,50
15.2,0.69,3800
42.8,0.43,3150
6,0.59,3600
14.9,0.88,600
15.7,0.05,550
39.9,0.91,450
0.1,0.41,3150
1.9,0.48,750
21.5,0.24,2350
10.7,0.93,1800
15,0.34,4100
48.6,0.16,3150
35.1,0.3,2850
29.5,0.21,650
22.3,0.16,2100
40.8,0.2,4050
15.9,0.79,2100
7.9,0.36,850
30.3,0.32,4300
30.6,0.13,1000
13.8,0.44,2750
15,0.11,100
22,0.89,1250
17.3,0.34,4550
22.4,0.94,4750
2.1,0.65,1200
45.4,0.64,4300
44.5,0.15,4150
31.6,0.33,500
9.9,0.88,3400
34.3,0.88,350
47.1,0.52,700
7.1,0.96,4550
47.2,0.96,4600
19.2,0.04,5000
21.4,0.63,3850
32.3,0.24,1300
12.5,0.92,3450
42.9,0.48,2650
33.7,0.71,300
29.1,0.19,1000
41.7,0.19,1600
44.3,0.63,3650
9,0.06,750
15.8,0.19,2150
44.9,0.51,3800
3,0.74,750
20.9,0.93,3100
29,0.16,2100
40.5,0.91,1800
13.6,0.32,350
32.2,0.68,900
40.8,0.04,800
26.4,0.21,1550
23.3,0.91,1250
13.9,0.26,1900
26.4,0.2,2050
29.4,0.9,1400
3.2,0.73,4900
14.2,0.37,2300
49.7,0.89,3050
33.2,0.07,2350
33.1,0.04,2250
10,0.71,3400
24.9,0.4,2550
30.7,0.27,3200
12.8,0.16,200
49.9,0.49,4650
17.2,0.03,3700
39.6,0.72,1900
25.8,0.42,600
10.9,0.97,2550
22.6,0.6,1900
47.2,0.77,4700
35.1,0.19,2850
23.3,0.8,1900
7.4,0.07,2900
12.2,0.96,1450
26,0.94,4800
41.5,0.19,400
14.1,0.24,1800
35.6,0.84,600
15.6,0.65,2050
37.1,0.94,3000
31.1,0.52,3250
19.1,0.72,4550
36.5,0.21,4150
35,0.06,4050
3.1,0.07,2450
23.5,0.85,3600
47.3,0.84,3700
41.2,0.88,3100
6.8,0.47,1100
42.9,0.52,4050
19.1,0.78,2450
42.1,0.84,2500
14.3,0.02,3550
22.1,0.96,3650
2.6,0.13,1350
30.6,0.32,3500
33.2,0.56,1500
7.9,0.3,2500
0.3,0.31,3450
11.3,0.15,1850
38.6,0.6,4800
21.7,0.79,950
29.8,0.32,3300
45.3,0.59,1050
13.5,0.84,3850
31.8,0.41,850
49.6,0.83,400
46.6,0.66,4950
47.7,0.17,750
4.1,0.89,3400
12.4,0.78,50
11.3,0.11,2000
43.6,0.51,2350
2.6,0.37,2950
10.1,0.22,3750
28.9,0.32,4000
23.8,0.5,1200
28.9,0.98,1400
49.5,0.85,3100
36.6,0.01,400
28.6,0.09,300
16.1,0.94,1600
5.4,0.35,4650
14.9,0.49,3450
41.5,0.01,450
31.3,0.54,4900
18.8,0.52,3600
13.6,0.23,4300
9.5,0.16,4800
4.2,0.61,1350
5.9,0.04,4650
13.2,0.79,1150
29.5,0.38,2400
31.5,0.11,2800
37.4,0.99,4900
19.1,0.92,200
15.5,0.95,4100
8.1,0.2,550
47,0.34,2050
