sizes,probs,cells
14.6,0.05,3250
79.2,0.3,4900
50.8,0.53,4700
49,0.65,3550
84,0.43,1750
51.2,0.07,400
69.6,0.55,2150
33.8,0.94,850
18.8,0.5,3050
59.4,0.71,2500
88.4,0.2,3400
96.6,0.93,2550
36.2,0.77,1150
86.8,0.53,450
14.2,0.32,4150
14,0.71,1000
25.4,0.26,600
9.2,0.79,400
79.6,0.78,4500
72.8,0.31,3700
62,0.79,3350
79.8,0.1,4800
65.2,0.66,1700
17.4,0.05,2000
61.6,0.45,850
48.6,0.61,2250
22.6,0.42,2950
41,0.78,4200
75,0.25,1300
7.6,0.28,1800
52.2,0.35,3600
26.2,0.6,4400
52.2,0.3,3800
66.6,0.08,2750
84.6,0.38,2950
75,0.43,4650
56.8,0.86,2700
10.6,0.74,3650
63.4,0.36,2900
74.6,0.13,1450
97.8,0.13,2300
15.8,0.82,650
7.6,0.26,450
54.4,0.03,300
13.8,0.43,3600
69.2,0.45,4300
87.4,0.73,2250
15,0.9,1300
27.4,0.27,2400
44.4,0.14,3450
16.2,0.35,4450
97.2,0.8,350
45.2,0.15,4450
16,0.99,4300
10.8,0.85,2450
10.8,0.38,3350
96.8,0.89,2100
18,0.49,4850
99.4,0.53,4800
29.8,0.34,300
43.2,0.18,1500
58.2,0.73,3350
78.8,0.67,550
17,0.63,500
72.8,0.49,1800
24.6,0.06,4550
96.6,0.99,4200
21.8,0.47,200
35.4,0.37,3450
18.2,0.46,650
16.4,0.48,4800
40.2,0.67,3750
33.6,0.04,250
84.6,0.14,2350
6,0.39,4150
81.2,0.24,3150
61.6,0.53,5000
69.8,0.46,4450
10.2,0.4,2000
17.4,0.38,700
85.2,0.96,1600
65.6,0.26,300
41,0.44,1600
95.2,0.27,3350
27.4,0.43,4300
19.4,0.25,2600
63.2,0.38,4050
30.2,0.96,3500
7.6,0.06,300
51.2,0.49,4250
82.6,0.7,2850
38.6,0.37,2850
87.8,0.01,3450
31.6,0.36,200
12,0.55,3650
21.4,0.89,4450
71,0.26,4100
93.2,0.26,1450
20.2,0.23,2150
79.6,0.82,3850
55.4,0.08,3250
52.4,0.86,4900
44.8,0.53,4700
1.8,0.6,3550
27.2,0.41,1750
52.6,0.13,400
65.6,0.71,2150
73.8,0.58,850
86.6,0.85,3050
26.4,0.78,2500
65,0.35,3400
23.2,0.6,2550
64.6,0.64,1150
51.6,0.68,450
98,0.38,4150
59.6,0.22,1000
84.2,0.32,600
56.8,0.47,400
55,0.33,4500
68.8,0.97,3700
38,0.23,3350
97.6,0.86,4800
43,0.98,1700
30.6,0.37,2000
3.4,0.7,850
21,0.81,2250
55.2,0.87,2950
95.6,0.76,4200
20.8,0.51,1300
72.8,0.59,1800
0.4,0.58,3600
33.6,0.9,4400
65.2,0.08,3800
78.6,0.6,2750
78.2,0.79,2950
30.6,0.19,4650
7.4,0.89,2700
37.4,0.66,3650
52.8,0.61,2900
26.2,0.03,1450
51.2,0.07,2300
11.8,0.85,650
2.8,0.38,450
77.4,0.51,300
51.8,0.61,3600
15,0.88,4300
78.4,0.18,2250
4.2,0.04,1300
39.2,0.84,2400
93.4,0.98,3450
55,0.69,4450
25,0.86,350
79.6,0.85,4450
55,0.25,4300
5.4,0.51,2450
98.8,0.01,3350
77,0.47,2100
94.8,0.25,4850
20.2,0.14,4800
30.4,0.31,300
85.6,0.71,1500
12,0.32,3350
29.8,0.67,550
31.4,0.86,500
79.8,0.15,1800
0.2,0.58,4550
3.8,0.9,4200
43,0.01,200
21.4,0.09,3450
30,0.14,650
97.2,0.96,4800
70.2,0.81,3750
59,0.09,250
44.6,0.75,2350
81.6,0.94,4150
31.8,0.83,3150
15.8,0.97,5000
60.6,0.67,4450
61.2,0.02,2000
27.6,0.64,700
30,0.95,1600
44,0.49,300
34.6,0.64,1600
44.8,0.82,3350
4.2,0.02,4300
90.8,0.58,2600
89,0.78,4050
63.2,0.7,3500
19.8,0.14,300
68.6,0.9,4250
94.2,0.28,2850
14.2,0.33,2850
94.4,0.81,3450
38.4,0.8,200
42.8,0.37,3650
64.6,0.02,4450
25,0.88,4100
85.8,0.4,1450
67.4,0.39,2150
58.2,0.29,3850
83.4,0.79,3250
88.6,0.66,4900
18,0.8,4700
31.6,0.31,3550
89.8,0.01,1750
6,0.76,400
41.8,0.78,2150
58,0.79,850
81,0.5,3050
27.2,0.51,2500
64.4,0.94,3400
81.6,0.39,2550
52.8,0.8,1150
46.6,0.33,450
27.8,0.46,4150
52.8,0.69,1000
58.8,0.06,600
6.4,0.59,400
28.4,0.24,4500
99.4,0.69,3700
66.4,0.55,3350
66.2,0.56,4800
20,0.33,1700
49.8,0.12,2000
61.4,0.82,850
25.6,0.35,2250
99.8,0.24,2950
34.4,0.38,4200
79.2,0.5,1300
51.6,0.28,1800
21.8,0.33,3600
45.2,0.88,4400
94.4,0.18,3800
70.2,0.77,2750
46.6,0.86,2950
14.8,0.12,4650
24.4,0.68,2700
52,0.55,3650
83,0.11,2900
28.2,0.8,1450
71.2,0.66,2300
31.2,0.68,650
74.2,0.04,450
62.2,0.34,300
38.2,0.39,3600
73,0.41,4300
70,0.2,2250
6.2,0.99,1300
47,0.6,2400
94.6,0.26,3450
82.4,0.42,4450
13.6,0.15,350
85.8,0.27,4450
38.2,0.39,4300
84.2,0.76,2450
28.6,0.22,3350
44.2,0.83,2100
5.2,0.27,4850
61.2,0.86,4800
66.4,0.09,300
15.8,0.54,1500
0.6,0.1,3350
22.6,0.03,550
77.2,0.69,500
43.4,0.32,1800
59.6,0.08,4550
90.6,0.49,4200
27,0.69,200
63.6,0.37,3450
99.2,0.52,650
93.2,0.07,4800
95.4,0.45,3750
8.2,0.88,250
24.8,0.06,2350
22.6,0.51,4150
87.2,0.67,3150
5.2,0.99,5000
20.2,0.45,4450
57.8,0.44,2000
47.6,0.99,700
57.8,0.64,1600
99,0.83,300
73.2,0.2,1600
57.2,0.63,3350
32.2,0.05,4300
10.8,0.43,2600
29.8,0.35,4050
83,0.22,3500
62.6,0.23,300
37.6,0.15,4250
27.2,0.18,2850
19,0.9,2850
8.4,0.24,3450
11.8,0.71,200
26.4,0.26,3650
59,0.86,4450
63,0.17,4100
74.8,0.75,1450
38.2,0.77,2150
31,0.71,3850
16.2,0.02,3250
94,0.38,4900
5.8,0.16,4700
71.4,0.39,3550
17.4,0.27,1750
36.4,0.69,400
62,0.43,2150
62.8,0.03,850
37.8,0.41,3050
6.6,0.78,2500
22.4,0.45,3400
4.8,0.27,2550
40,0.93,1150
33.4,0.32,450
64.8,0.88,4150
57.2,0.77,1000
76,0.22,600
12.4,0.02,400
19.2,0.07,4500
86.4,0.35,3700
86.2,0.98,3350
26.2,0.81,4800
86.2,0.36,1700
57,0.1,2000
86.2,0.58,850
87.4,0.09,2250
77.2,0.63,2950
52.2,0.36,4200
72.6,0.6,1300
15,0.46,1800
31.8,0.51,3600
73,0.89,4400
27.6,0.73,3800
58.8,0.08,2750
96.8,0.07,2950
55.6,0.12,4650
93,0.78,2700
80,0.5,3650
47.4,0.2,2900
70.8,0.47,1450
6.6,0.53,2300
45.2,0.54,650
65.8,0.52,450
75.6,0.29,300
77.8,0.42,3600
88.2,0.84,4300
41.6,0.97,2250
7.2,0.37,1300
49,0.74,2400
59.4,0.3,3450
23,0.62,4450
68.2,0.23,350
55.2,0.94,4450
12.6,0.11,4300
99.6,0.76,2450
90.4,0.01,3350
31.2,0.39,2100
9.2,0.41,4850
45.8,0.27,4800
41.2,0.16,300
56.4,0.38,1500
33.6,0.88,3350
43.2,0.41,550
12.6,0.93,500
95.8,0.92,1800
57,0.39,4550
36,0.91,4200
16.2,0.61,200
4.2,0.75,3450
40.4,0.7,650
92.2,0.95,4800
26.2,0.67,3750
84.6,0.5,250
79,0.8,2350
34.4,0.76,4150
52.8,0.47,3150
56.2,0.28,5000
14.2,0.24,4450
98.6,0.36,2000
66.4,0.14,700
74.6,0.67,1600
58.8,0.54,300
20.4,0.43,1600
10.6,0.39,3350
16.8,0.51,4300
93.2,0.02,2600
1.4,0.25,4050
64.4,0.69,3500
52.8,0.26,300
14.6,0.43,4250
51,0.18,2850
15.8,0.62,2850
80.4,0.34,3450
4.2,0.24,200
42.8,0.36,3650
93.4,0.03,4450
70.4,0.13,4100
90,0.55,1450
59.4,0.77,2150
86,0.83,3850
92,0.81,3250
3.2,0.84,4900
51.6,0.71,4700
57.6,0.28,3550
32.8,0.65,1750
21,0.5,400
33.4,0.2,2150
60,0.31,850
70.2,0.37,3050
2.2,0.32,2500
85,0.22,3400
88.4,0.51,2550
47.6,0.66,1150
54.4,0.95,450
3,0.53,4150
30.2,0.7,1000
28,0.44,600
40,0.43,400
32.6,0.23,4500
4.8,0.27,3700
35.8,0.7,3350
64,0.43,4800
41.2,0.34,1700
20,0.37,2000
58.6,0.43,850
51.8,0.93,2250
94.2,0.2,2950
66.8,0.01,4200
4.2,0.85,1300
93.6,0.39,1800
26.6,0.93,3600
50.8,0.36,4400
20.2,0.94,3800
92,0.19,2750
28.6,0.39,2950
52.8,0.99,4650
93.6,0.98,2700
71.2,0.91,3650
65.6,0.19,2900
12.4,0.93,1450
44.4,0.85,2300
91.8,0.87,650
84.2,0.05,450
52.8,0.31,300
77.6,0.77,3600
4,0.38,4300
4.8,0.43,2250
92.8,0.8,1300
52.2,0.35,2400
80.6,0.35,3450
73.4,0.41,4450
81.2,0.1,350
55.8,0.29,4450
1.6,0.19,4300
61.6,0.88,2450
43,0.3,3350
2.2,0.3,2100
22.4,0.02,4850
93,0.21,4800
50.6,0.83,300
39,0.73,1500
56,0.29,3350
83.2,0.87,550
18.4,0.2,500
18.6,0.12,1800
37.8,0.47,4550
33.8,0.07,4200
35,0.94,200
59,0.52,3450
21.6,0.17,650
69,0.07,4800
98.8,0.46,3750
37.8,0.57,250
7.2,0.4,2350
18.8,0.94,4150
20.6,0.04,3150
66.4,0.23,5000
67.8,0.12,4450
9,0.84,2000
85.6,0.58,700
47.4,0.47,1600
8,0.8,300
44,0.54,1600
30.4,0.54,3350
4.2,0.97,4300
96.4,0.44,2600
21.6,0.17,4050
34,0.42,3500
36.8,0.53,300
4.4,0.2,4250
33.2,0.46,2850
44,0.27,2850
19.4,0.43,3450
58.2,0.52,200
87.6,0.84,3650
48.6,0.01,4450
96.4,0.22,4100
16,0.68,1450
61.8,0.56,2150
56.6,0.69,3850
78.6,0.47,3250
77.8,0.31,4900
79.4,0.39,4700
3.6,0.41,3550
3,0.67,1750
23.6,0.7,400
42.4,0.96,2150
0.4,0.57,850
30.4,0.41,3050
67.2,0.24,2500
12,0.21,3400
77,0.27,2550
31.2,0.35,1150
99.2,0.55,450
24.2,0.1,4150
9.8,0.65,1000
80.4,0.04,600
48.2,0.27,400
1.2,0.88,4500
70.8,0.81,3700
11.6,0.36,3350
46.6,0.74,4800
4.2,0.63,1700
98.4,0.19,2000
35,0.43,850
58.2,0.92,2250
22.6,0.91,2950
85.4,0.78,4200
72.4,0.47,1300
83.8,0.21,1800
73,0.8,3600
97.8,0.11,4400
52.2,0.49,3800
81.6,0.85,2750
24,0.2,2950
98.4,0.71,4650
66,0.59,2700
27.6,0.28,3650
52,0.31,2900
76,0.64,1450
76.4,0.71,2300
16.6,0.55,650
45,0.54,450
46.8,0.84,300
39.2,0.54,3600
79,0.09,4300
30,0.17,2250
97,0.45,1300
98.6,0.69,2400
41,0.33,3450
29.4,0.38,4450
16.8,0.83,350
7.8,0.72,4450
17,0.88,4300
23.6,0.14,2450
12,0.27,3350
10,0.01,2100
67,0.81,4850
21,0.99,4800
47.4,0.93,300
91.6,0.75,1500
77.6,0.05,3350
55.8,0.6,550
1.4,0.01,500
7.8,0.13,1800
78.4,0.24,4550
27,0.17,4200
15,0.75,200
29.6,0.63,3450
31,0.99,650
53.2,0.76,4800
17,0.26,3750
46.8,0.65,250
79.4,0.46,2350
80.4,0.19,4150
69,0.73,3150
39.2,0.01,5000
50.4,0.57,4450
27.8,0.55,2000
37.2,0.63,700
75,0.05,1600
1.8,0.89,300
44.6,0.59,1600
80.8,0.93,3350
10.4,0.47,4300
30.2,0.18,2600
44.4,0.1,4050
52.8,0.08,3500
52.6,0.39,300
62.4,0.45,4250
2,0.32,2850
36.2,0.37,2850
65.6,0.78,3450
68.6,0.05,200
6.2,0.9,3650
8.2,0.14,4450
2.4,0.89,4100
31,0.22,1450
85.8,0.11,2150
43,0.66,3850
97.6,0.82,3250
6.6,0.43,4900
72.6,0.38,4700
5.4,0.57,3550
59.6,0.58,1750
10,0.27,400
54,0.38,2150
26,0.78,850
0.8,0.97,3050
66.2,0.4,2500
94.4,0.48,3400
71.4,0.69,2550
57.8,0.2,1150
65.2,0.87,450
65,0.59,4150
30.2,0.22,1000
88.8,0.84,600
13.6,0.91,400
73.8,0.25,4500
78.2,0.22,3700
95.8,0.6,3350
60.6,0.23,4800
88.6,0.65,1700
70.4,0.79,2000
12.8,0.93,850
44,0.61,2250
79,0.25,2950
78.8,0.79,4200
87.4,0.71,1300
40.4,0.43,1800
94.8,0.95,3600
20.4,0.96,4400
45.4,0.76,3800
50.4,0.59,2750
69,0.75,2950
20.6,0.37,4650
61,0.17,2700
65.2,0.05,3650
59.4,0.6,2900
22.4,0.41,1450
78.8,0.58,2300
42.6,0.02,650
6,0.99,450
97.8,0.28,300
94.4,0.67,3600
31.6,0.32,4300
37.2,0.81,2250
